"filing_year","area","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,50,127,7.510,3,1,123,10,113,589.500,10,79,19,10,5,27,96,116,7,4,3,57,66,55,61,2,5,2,2,0,3,35,27,61,34,27,55,1,0,6,7,116,7,109,0,7
2010,51,136,7.320,6,1,129,27,102,434.660,26,70,23,7,3,26,103,114,15,5,10,74,55,70,44,4,11,3,2,1,9,53,18,58,53,18,43,0,0,15,16,113,16,98,0,15
2010,52,49,2.270,3,1,45,13,32,2137.500,13,3,18,7,4,21,24,43,2,1,1,32,13,32,11,0,2,0,1,0,1,21,1,23,21,1,21,0,0,2,8,37,8,35,0,2
2010,53,240,6.050,19,4,217,53,164,1657,53,32,80,35,17,115,102,183,34,28,6,130,87,118,65,12,22,12,16,0,6,75,15,127,73,15,95,2,0,32,17,200,17,166,0,34
2010,54,184,9.470,2,2,180,32,148,522.160,32,118,17,12,1,6,174,166,14,4,10,60,120,59,107,1,13,1,3,0,10,44,74,62,44,74,48,0,0,14,12,168,12,154,0,14
2010,55,26,2.570,1,0,25,1,24,1805,1,10,3,8,3,8,17,22,3,3,0,15,10,14,8,1,2,1,2,0,0,7,3,15,7,3,12,0,0,3,7,18,6,16,1,2
2010,56,80,3.670,5,0,75,25,50,1950,24,10,21,12,8,28,47,67,8,5,3,45,30,43,24,2,6,2,3,0,3,24,4,47,24,4,39,0,0,8,6,69,6,61,0,8
2010,57,45,3.310,2,0,43,5,38,2000,4,6,17,15,1,16,27,38,5,5,0,23,20,21,17,2,3,2,3,0,0,14,6,23,14,6,18,0,0,5,3,40,3,35,0,5
2010,58,183,2.720,12,2,169,57,112,1800,54,22,55,27,11,93,76,148,21,15,6,109,60,98,50,11,10,10,5,1,5,66,16,87,65,16,67,1,0,20,20,149,20,128,0,21
2010,59,61,2.640,3,0,58,11,47,1850,11,11,27,5,4,32,26,52,6,4,2,33,25,31,21,2,4,2,2,0,2,17,8,33,17,8,27,0,0,6,5,53,5,47,0,6
2010,60,164,2.470,6,3,155,29,126,2300,29,16,53,42,15,56,99,142,13,11,2,99,56,95,47,4,9,3,8,1,1,60,13,82,59,13,70,1,0,12,21,134,21,121,0,13
2010,61,391,4.950,44,4,343,116,227,1650,115,47,111,50,20,186,157,312,31,27,4,214,129,201,111,13,18,12,15,1,3,129,31,183,128,30,154,1,1,29,56,287,56,256,0,31
2010,62,42,3.310,1,0,41,10,31,1874.500,10,6,15,6,4,19,22,37,4,3,1,30,11,28,9,2,2,2,1,0,1,18,3,20,17,3,17,1,0,3,6,35,6,31,0,4
2010,63,153,3.600,21,1,131,33,98,1725,32,25,48,20,6,52,79,117,14,8,6,83,48,76,41,7,7,5,3,2,4,50,11,70,49,11,57,1,0,13,13,118,13,104,0,14
2010,64,86,3.900,7,1,78,15,63,1615,14,16,36,10,2,31,47,66,12,9,3,43,35,37,29,6,6,6,3,0,3,19,5,54,19,5,42,0,0,12,9,69,9,57,0,12
2010,65,109,5.120,14,1,94,18,76,2600,17,7,30,17,23,30,64,85,9,7,2,44,50,42,43,2,7,2,5,0,2,28,9,57,28,9,48,0,0,9,12,82,12,73,0,9
2010,66,574,5.770,36,3,535,123,412,1632.780,123,93,212,73,34,191,344,487,48,37,11,340,195,315,172,25,23,20,17,5,6,210,42,283,206,40,241,4,2,42,73,462,70,417,3,45
